constant,value,units,tag,tier,form,block,band,errs,resolves_by,decided_by,precedent,supplied_by,default,superseded_by,note
CAPACITY_DECLINE_LATE_AGE,80,years of age,placeholder,,"the three breakpoints of the piecewise capacity-decline schedule in core/population._capacity_decline_rate — no decline below onset, then early, mid and late phases. A step schedule is itself an approximation: real functional decline is continuous and accelerating, and the steps are a readable stand-in for a curve nobody here has fitted.",Human capital and population,,,"NHATS or HRS functional-limitation prevalence by single year of age. FIELD: the age at which ADL/IADL limitation prevalence first departs from its plateau, and the two inflections above it. The same dataset is already the named pointer for HUMAN_CAPITAL_*_DECAY and the AGE_GROUPS care weights, so one ingest closes all three. Grip strength (NHANES, mean kg by age) bounds the PHYSICAL axis only and would understate cognitive decline.",,,,,,"CAPACITY_DECLINE_MID_AGE is BOUND to the AGE_GROUP_RANGES elderly boundary rather than restating 65, so the two cannot drift apart. The onset at 50 is deliberately NOT the retirement age — the claim is biological capacity, not labour-force status, and conflating them would be the wrong-instrument error this repo keeps finding (a participation series measures whether people DO work, not what they are capable of)."
CAPACITY_DECLINE_EARLY_RATE,0.015,fraction of capacity lost per year,placeholder,,annual fractional loss of entropy-reduction capacity within each phase. The ORDERING (early < mid < late) is the claim and is biologically well-founded; the three LEVELS and the ~2.7x and ~1.75x steps between them are desk estimates.,Human capital and population,,,"as for the breakpoints above — NHATS/HRS by single year of age. FIELD: the year-on-year change in mean functional capacity within each band, NOT the prevalence level, which answers a different question.",,,,,,"these govern a SHAPE, so they are pinned by shape tests (test_population.TestCapacityDeclineShape) rather than by their levels — a +7% perturbation of any of them moved no test at all before 2026-08-27, which is how they were found."
CAPACITY_DECLINE_MID_RATE,0.04,fraction of capacity lost per year,placeholder,,annual fractional loss of entropy-reduction capacity within each phase. The ORDERING (early < mid < late) is the claim and is biologically well-founded; the three LEVELS and the ~2.7x and ~1.75x steps between them are desk estimates.,Human capital and population,,,"as for the breakpoints above — NHATS/HRS by single year of age. FIELD: the year-on-year change in mean functional capacity within each band, NOT the prevalence level, which answers a different question.",,,,,,"these govern a SHAPE, so they are pinned by shape tests (test_population.TestCapacityDeclineShape) rather than by their levels — a +7% perturbation of any of them moved no test at all before 2026-08-27, which is how they were found."
CAPACITY_DECLINE_LATE_RATE,0.07,fraction of capacity lost per year,placeholder,,annual fractional loss of entropy-reduction capacity within each phase. The ORDERING (early < mid < late) is the claim and is biologically well-founded; the three LEVELS and the ~2.7x and ~1.75x steps between them are desk estimates.,Human capital and population,,,"as for the breakpoints above — NHATS/HRS by single year of age. FIELD: the year-on-year change in mean functional capacity within each band, NOT the prevalence level, which answers a different question.",,,,,,"these govern a SHAPE, so they are pinned by shape tests (test_population.TestCapacityDeclineShape) rather than by their levels — a +7% perturbation of any of them moved no test at all before 2026-08-27, which is how they were found."
CANONICAL_CAPITAL_GROWTH_SLOPE,2.0,"mixed — see each line; slopes are per ε unit, bases are in the governed quantity's own units",convention,,"these define the IDEAL ARC, not a prediction. A real simulation diverges from it, and divergence is the point of modelling — canonical_physical_state(ε) exists for arc testing and cross-sectional analysis, so these constants are a deliberately smooth reference rather than a claim about any actual trajectory. That is why they are one family: they share a single epistemic status.",Canonical trajectory,,,,,,,,,"nothing, and by design — an ideal arc is a reference frame, not a measurement. What CAN be measured is how far an actual trajectory sits from it, which is what the scenario layer reports. Treat these as the axis, not the data."
CANONICAL_MONITORING_CAPABILITY_BASE,0.5,"mixed — see each line; slopes are per ε unit, bases are in the governed quantity's own units",convention,,"these define the IDEAL ARC, not a prediction. A real simulation diverges from it, and divergence is the point of modelling — canonical_physical_state(ε) exists for arc testing and cross-sectional analysis, so these constants are a deliberately smooth reference rather than a claim about any actual trajectory. That is why they are one family: they share a single epistemic status.",Canonical trajectory,,,,,,,,,"nothing, and by design — an ideal arc is a reference frame, not a measurement. What CAN be measured is how far an actual trajectory sits from it, which is what the scenario layer reports. Treat these as the axis, not the data."
CANONICAL_MONITORING_CAPABILITY_SLOPE,0.5,"mixed — see each line; slopes are per ε unit, bases are in the governed quantity's own units",convention,,"these define the IDEAL ARC, not a prediction. A real simulation diverges from it, and divergence is the point of modelling — canonical_physical_state(ε) exists for arc testing and cross-sectional analysis, so these constants are a deliberately smooth reference rather than a claim about any actual trajectory. That is why they are one family: they share a single epistemic status.",Canonical trajectory,,,,,,,,,"nothing, and by design — an ideal arc is a reference frame, not a measurement. What CAN be measured is how far an actual trajectory sits from it, which is what the scenario layer reports. Treat these as the axis, not the data."
CANONICAL_KNOWLEDGE_COMPLEXITY_SLOPE,9.0,"mixed — see each line; slopes are per ε unit, bases are in the governed quantity's own units",convention,,"these define the IDEAL ARC, not a prediction. A real simulation diverges from it, and divergence is the point of modelling — canonical_physical_state(ε) exists for arc testing and cross-sectional analysis, so these constants are a deliberately smooth reference rather than a claim about any actual trajectory. That is why they are one family: they share a single epistemic status.",Canonical trajectory,,,,,,,,,"nothing, and by design — an ideal arc is a reference frame, not a measurement. What CAN be measured is how far an actual trajectory sits from it, which is what the scenario layer reports. Treat these as the axis, not the data."
CANONICAL_KNOWLEDGE_COMPLEXITY_EXP,2.0,"mixed — see each line; slopes are per ε unit, bases are in the governed quantity's own units",convention,,"these define the IDEAL ARC, not a prediction. A real simulation diverges from it, and divergence is the point of modelling — canonical_physical_state(ε) exists for arc testing and cross-sectional analysis, so these constants are a deliberately smooth reference rather than a claim about any actual trajectory. That is why they are one family: they share a single epistemic status.",Canonical trajectory,,,,,,,,,"nothing, and by design — an ideal arc is a reference frame, not a measurement. What CAN be measured is how far an actual trajectory sits from it, which is what the scenario layer reports. Treat these as the axis, not the data."
CANONICAL_CAPITAL_AGE_DRIFT,0.2,"mixed — see each line; slopes are per ε unit, bases are in the governed quantity's own units",convention,,"these define the IDEAL ARC, not a prediction. A real simulation diverges from it, and divergence is the point of modelling — canonical_physical_state(ε) exists for arc testing and cross-sectional analysis, so these constants are a deliberately smooth reference rather than a claim about any actual trajectory. That is why they are one family: they share a single epistemic status.",Canonical trajectory,,,,,,,,,"nothing, and by design — an ideal arc is a reference frame, not a measurement. What CAN be measured is how far an actual trajectory sits from it, which is what the scenario layer reports. Treat these as the axis, not the data."
CANONICAL_ECOSYSTEM_HEALTH_BASE,0.9,"mixed — see each line; slopes are per ε unit, bases are in the governed quantity's own units",convention,,"these define the IDEAL ARC, not a prediction. A real simulation diverges from it, and divergence is the point of modelling — canonical_physical_state(ε) exists for arc testing and cross-sectional analysis, so these constants are a deliberately smooth reference rather than a claim about any actual trajectory. That is why they are one family: they share a single epistemic status.",Canonical trajectory,,,,,,,,,"nothing, and by design — an ideal arc is a reference frame, not a measurement. What CAN be measured is how far an actual trajectory sits from it, which is what the scenario layer reports. Treat these as the axis, not the data."
CANONICAL_ECOSYSTEM_HEALTH_DRIFT,-0.2,"mixed — see each line; slopes are per ε unit, bases are in the governed quantity's own units",convention,,"these define the IDEAL ARC, not a prediction. A real simulation diverges from it, and divergence is the point of modelling — canonical_physical_state(ε) exists for arc testing and cross-sectional analysis, so these constants are a deliberately smooth reference rather than a claim about any actual trajectory. That is why they are one family: they share a single epistemic status.",Canonical trajectory,,,,,,,,,"nothing, and by design — an ideal arc is a reference frame, not a measurement. What CAN be measured is how far an actual trajectory sits from it, which is what the scenario layer reports. Treat these as the axis, not the data."
GUF_PSI_A,0.8,dimensionless,placeholder,,NLSA Eq. 18 — the framework's own claim that land's labour-content cost peaks mid-arc and is low at both extremes.,Ground Use Fee (land/guf.py),,,"a ground-fee-vs-automation panel across jurisdictions at differing automation levels. Nothing in the repo constrains the rise and fall speeds independently of one another, so sweep them jointly until it does. NOTE such a panel would now have to justify Ψ existing at all alongside α, not merely its shape parameters.",,,,,,"THESE NO LONGER GOVERN THE SHIPPED FEE (2026-08-20, author decision). `land/guf.psi_application` defaults to `retired` (Ψ ≡ 1) and the fee's only automation response is now α(ε) = labor_content_scaling inside U. The whole family remains LIVE, not retired, because `psi_policy=""bell""` still applies it and the NLSA §4.4 boundary conditions are still pinned against it — but nothing in the default path reads the curve. The audit that retired it: the ε→0.99 end duplicated α's own stated rationale (combined discount 273× for one mechanism), and the ε=0 floor was a claim about institutional COLLECTION CAPACITY pointing opposite to α's cost claim. See handoffs/guf_redefinition.md §17."
GUF_PSI_B,1.2,dimensionless,placeholder,,NLSA Eq. 18 — the framework's own claim that land's labour-content cost peaks mid-arc and is low at both extremes.,Ground Use Fee (land/guf.py),,,"a ground-fee-vs-automation panel across jurisdictions at differing automation levels. Nothing in the repo constrains the rise and fall speeds independently of one another, so sweep them jointly until it does. NOTE such a panel would now have to justify Ψ existing at all alongside α, not merely its shape parameters.",,,,,,"THESE NO LONGER GOVERN THE SHIPPED FEE (2026-08-20, author decision). `land/guf.psi_application` defaults to `retired` (Ψ ≡ 1) and the fee's only automation response is now α(ε) = labor_content_scaling inside U. The whole family remains LIVE, not retired, because `psi_policy=""bell""` still applies it and the NLSA §4.4 boundary conditions are still pinned against it — but nothing in the default path reads the curve. The audit that retired it: the ε→0.99 end duplicated α's own stated rationale (combined discount 273× for one mechanism), and the ε=0 floor was a claim about institutional COLLECTION CAPACITY pointing opposite to α's cost claim. See handoffs/guf_redefinition.md §17."
GUF_PSI_FLOOR,0.02,fraction of the reference fee,placeholder,,,Ground Use Fee (land/guf.py),,,"the lowest ground-use fee observed in a highly-automated jurisdiction that still levies one. The floor asserts the fee never reaches zero, which is a policy commitment awaiting an observed analogue.",,,,,,
GUF_PSI_NORM,3.76527397188,dimensionless,derived,,"the normalization that puts Ψ's peak at exactly 1.0. Ψ(ε) = N·ε^a·(1−ε)^b + floor peaks at ε* = a/(a+b), so N = (1 − floor) / (ε*^a · (1−ε*)^b). It now MOVES when a, b or the floor move, which is the whole point — it was pinned, and a pinned normalization of two live parameters is a stale value waiting to happen.",Ground Use Fee (land/guf.py),,,,,,,,,
GUF_ALPHA_ZETA,0.8,dimensionless,placeholder,,NLSA Eq. 19–20 — labour content declines with automation to an irreducible human-judgment floor.,Ground Use Fee (land/guf.py),,,measured labour-hours per parcel-administration task against an automation index. The O*NET/BLS spine already shipped in reference/data/ covers the occupations but has never been cut to land administration.,,,,,,
GUF_ALPHA_FLOOR,0.05,dimensionless,placeholder,,NLSA Eq. 19–20 — labour content declines with automation to an irreducible human-judgment floor.,Ground Use Fee (land/guf.py),,,measured labour-hours per parcel-administration task against an automation index. The O*NET/BLS spine already shipped in reference/data/ covers the occupations but has never been cut to land administration.,,,,,,
GUF_LVI_W_CENTRALITY,0.35,fraction,instance,,NLSA Eq. 3 — the four weights are constrained to sum to 1.0. The split between them is constrained by nothing.,Ground Use Fee (land/guf.py),,,,,,"a hedonic regression of parcel transaction values on the four sub-indices FOR YOUR JURISDICTION. These weights ARE that regression's coefficients, so this is a well-defined study rather than an aspiration — it is the standard land-valuation method. Land value is local by construction: no national or global figure substitutes.","an even-handed split (0.35/0.30/0.20/0.15) summing to 1.0, standing in for a regression nobody has run here. The ORDER encodes a claim (centrality dominates, natural amenity least) that your own regression may invert.",,
GUF_LVI_W_TRANSIT,0.3,fraction,instance,,NLSA Eq. 3 — the four weights are constrained to sum to 1.0. The split between them is constrained by nothing.,Ground Use Fee (land/guf.py),,,,,,"a hedonic regression of parcel transaction values on the four sub-indices FOR YOUR JURISDICTION. These weights ARE that regression's coefficients, so this is a well-defined study rather than an aspiration — it is the standard land-valuation method. Land value is local by construction: no national or global figure substitutes.","an even-handed split (0.35/0.30/0.20/0.15) summing to 1.0, standing in for a regression nobody has run here. The ORDER encodes a claim (centrality dominates, natural amenity least) that your own regression may invert.",,
GUF_LVI_W_SERVICES,0.2,fraction,instance,,NLSA Eq. 3 — the four weights are constrained to sum to 1.0. The split between them is constrained by nothing.,Ground Use Fee (land/guf.py),,,,,,"a hedonic regression of parcel transaction values on the four sub-indices FOR YOUR JURISDICTION. These weights ARE that regression's coefficients, so this is a well-defined study rather than an aspiration — it is the standard land-valuation method. Land value is local by construction: no national or global figure substitutes.","an even-handed split (0.35/0.30/0.20/0.15) summing to 1.0, standing in for a regression nobody has run here. The ORDER encodes a claim (centrality dominates, natural amenity least) that your own regression may invert.",,
GUF_LVI_W_NATURAL_AMENITY,0.15,fraction,instance,,NLSA Eq. 3 — the four weights are constrained to sum to 1.0. The split between them is constrained by nothing.,Ground Use Fee (land/guf.py),,,,,,"a hedonic regression of parcel transaction values on the four sub-indices FOR YOUR JURISDICTION. These weights ARE that regression's coefficients, so this is a well-defined study rather than an aspiration — it is the standard land-valuation method. Land value is local by construction: no national or global figure substitutes.","an even-handed split (0.35/0.30/0.20/0.15) summing to 1.0, standing in for a regression nobody has run here. The ORDER encodes a claim (centrality dominates, natural amenity least) that your own regression may invert.",,
GUF_USE_RESIDENTIAL_PRIMARY,10.0,"TEH per Standard Land Unit per year, at ε=0.40",placeholder,,NLSA Eq. 9 — midpoints of the manual's per-category ranges.,Ground Use Fee (land/guf.py),,,"a stewardship-cost census — collective labour-hours per year actually attributable to servicing each use category (roads, utilities, inspection, dispute resolution), divided by land area. That measures the quantity the fee is DEFINED as, so it settles the levels and the ratios in one instrument rather than calibrating one against the other.",,,,,,"CALIBRATED TO A TARGET, and retagged on that basis (2026-08-09). These were scaled ×100 from the template's abstract unit values so that aggregate GUF over a 1M-population inventory (~400k residential + 20k commercial parcels) lands co-equal with levy revenue at mid-arc: residential ≈ 9.3M TEH/yr, commercial ≈ 4.1M, total ≈ 13.4M against levy ≈ 6.2M (≈2.2×). A value reverse-engineered from a desired outcome is CHOSEN under this scheme's own precedent — _ECOLOGICAL_SPIKE_INTENSITY was retagged for the same reason on 2026-08-05 — whatever the ratios between categories rest on."
GUF_USE_RESIDENTIAL_SECONDARY,21.5,"TEH per Standard Land Unit per year, at ε=0.40",placeholder,,NLSA Eq. 9 — midpoints of the manual's per-category ranges.,Ground Use Fee (land/guf.py),,,"a stewardship-cost census — collective labour-hours per year actually attributable to servicing each use category (roads, utilities, inspection, dispute resolution), divided by land area. That measures the quantity the fee is DEFINED as, so it settles the levels and the ratios in one instrument rather than calibrating one against the other.",,,,,,"CALIBRATED TO A TARGET, and retagged on that basis (2026-08-09). These were scaled ×100 from the template's abstract unit values so that aggregate GUF over a 1M-population inventory (~400k residential + 20k commercial parcels) lands co-equal with levy revenue at mid-arc: residential ≈ 9.3M TEH/yr, commercial ≈ 4.1M, total ≈ 13.4M against levy ≈ 6.2M (≈2.2×). A value reverse-engineered from a desired outcome is CHOSEN under this scheme's own precedent — _ECOLOGICAL_SPIKE_INTENSITY was retagged for the same reason on 2026-08-05 — whatever the ratios between categories rest on."
GUF_USE_AGRICULTURAL_ACTIVE,2.0,"TEH per Standard Land Unit per year, at ε=0.40",placeholder,,NLSA Eq. 9 — midpoints of the manual's per-category ranges.,Ground Use Fee (land/guf.py),,,"a stewardship-cost census — collective labour-hours per year actually attributable to servicing each use category (roads, utilities, inspection, dispute resolution), divided by land area. That measures the quantity the fee is DEFINED as, so it settles the levels and the ratios in one instrument rather than calibrating one against the other.",,,,,,"CALIBRATED TO A TARGET, and retagged on that basis (2026-08-09). These were scaled ×100 from the template's abstract unit values so that aggregate GUF over a 1M-population inventory (~400k residential + 20k commercial parcels) lands co-equal with levy revenue at mid-arc: residential ≈ 9.3M TEH/yr, commercial ≈ 4.1M, total ≈ 13.4M against levy ≈ 6.2M (≈2.2×). A value reverse-engineered from a desired outcome is CHOSEN under this scheme's own precedent — _ECOLOGICAL_SPIKE_INTENSITY was retagged for the same reason on 2026-08-05 — whatever the ratios between categories rest on."
GUF_USE_AGRICULTURAL_FALLOW,5.0,"TEH per Standard Land Unit per year, at ε=0.40",placeholder,,NLSA Eq. 9 — midpoints of the manual's per-category ranges.,Ground Use Fee (land/guf.py),,,"a stewardship-cost census — collective labour-hours per year actually attributable to servicing each use category (roads, utilities, inspection, dispute resolution), divided by land area. That measures the quantity the fee is DEFINED as, so it settles the levels and the ratios in one instrument rather than calibrating one against the other.",,,,,,"CALIBRATED TO A TARGET, and retagged on that basis (2026-08-09). These were scaled ×100 from the template's abstract unit values so that aggregate GUF over a 1M-population inventory (~400k residential + 20k commercial parcels) lands co-equal with levy revenue at mid-arc: residential ≈ 9.3M TEH/yr, commercial ≈ 4.1M, total ≈ 13.4M against levy ≈ 6.2M (≈2.2×). A value reverse-engineered from a desired outcome is CHOSEN under this scheme's own precedent — _ECOLOGICAL_SPIKE_INTENSITY was retagged for the same reason on 2026-08-05 — whatever the ratios between categories rest on."
GUF_USE_COMMERCIAL_RETAIL,30.0,"TEH per Standard Land Unit per year, at ε=0.40",placeholder,,NLSA Eq. 9 — midpoints of the manual's per-category ranges.,Ground Use Fee (land/guf.py),,,"a stewardship-cost census — collective labour-hours per year actually attributable to servicing each use category (roads, utilities, inspection, dispute resolution), divided by land area. That measures the quantity the fee is DEFINED as, so it settles the levels and the ratios in one instrument rather than calibrating one against the other.",,,,,,"CALIBRATED TO A TARGET, and retagged on that basis (2026-08-09). These were scaled ×100 from the template's abstract unit values so that aggregate GUF over a 1M-population inventory (~400k residential + 20k commercial parcels) lands co-equal with levy revenue at mid-arc: residential ≈ 9.3M TEH/yr, commercial ≈ 4.1M, total ≈ 13.4M against levy ≈ 6.2M (≈2.2×). A value reverse-engineered from a desired outcome is CHOSEN under this scheme's own precedent — _ECOLOGICAL_SPIKE_INTENSITY was retagged for the same reason on 2026-08-05 — whatever the ratios between categories rest on."
GUF_USE_COMMERCIAL_OFFICE,22.5,"TEH per Standard Land Unit per year, at ε=0.40",placeholder,,NLSA Eq. 9 — midpoints of the manual's per-category ranges.,Ground Use Fee (land/guf.py),,,"a stewardship-cost census — collective labour-hours per year actually attributable to servicing each use category (roads, utilities, inspection, dispute resolution), divided by land area. That measures the quantity the fee is DEFINED as, so it settles the levels and the ratios in one instrument rather than calibrating one against the other.",,,,,,"CALIBRATED TO A TARGET, and retagged on that basis (2026-08-09). These were scaled ×100 from the template's abstract unit values so that aggregate GUF over a 1M-population inventory (~400k residential + 20k commercial parcels) lands co-equal with levy revenue at mid-arc: residential ≈ 9.3M TEH/yr, commercial ≈ 4.1M, total ≈ 13.4M against levy ≈ 6.2M (≈2.2×). A value reverse-engineered from a desired outcome is CHOSEN under this scheme's own precedent — _ECOLOGICAL_SPIKE_INTENSITY was retagged for the same reason on 2026-08-05 — whatever the ratios between categories rest on."
GUF_USE_INDUSTRIAL_LIGHT,17.0,"TEH per Standard Land Unit per year, at ε=0.40",placeholder,,NLSA Eq. 9 — midpoints of the manual's per-category ranges.,Ground Use Fee (land/guf.py),,,"a stewardship-cost census — collective labour-hours per year actually attributable to servicing each use category (roads, utilities, inspection, dispute resolution), divided by land area. That measures the quantity the fee is DEFINED as, so it settles the levels and the ratios in one instrument rather than calibrating one against the other.",,,,,,"CALIBRATED TO A TARGET, and retagged on that basis (2026-08-09). These were scaled ×100 from the template's abstract unit values so that aggregate GUF over a 1M-population inventory (~400k residential + 20k commercial parcels) lands co-equal with levy revenue at mid-arc: residential ≈ 9.3M TEH/yr, commercial ≈ 4.1M, total ≈ 13.4M against levy ≈ 6.2M (≈2.2×). A value reverse-engineered from a desired outcome is CHOSEN under this scheme's own precedent — _ECOLOGICAL_SPIKE_INTENSITY was retagged for the same reason on 2026-08-05 — whatever the ratios between categories rest on."
GUF_USE_INDUSTRIAL_HEAVY,37.5,"TEH per Standard Land Unit per year, at ε=0.40",placeholder,,NLSA Eq. 9 — midpoints of the manual's per-category ranges.,Ground Use Fee (land/guf.py),,,"a stewardship-cost census — collective labour-hours per year actually attributable to servicing each use category (roads, utilities, inspection, dispute resolution), divided by land area. That measures the quantity the fee is DEFINED as, so it settles the levels and the ratios in one instrument rather than calibrating one against the other.",,,,,,"CALIBRATED TO A TARGET, and retagged on that basis (2026-08-09). These were scaled ×100 from the template's abstract unit values so that aggregate GUF over a 1M-population inventory (~400k residential + 20k commercial parcels) lands co-equal with levy revenue at mid-arc: residential ≈ 9.3M TEH/yr, commercial ≈ 4.1M, total ≈ 13.4M against levy ≈ 6.2M (≈2.2×). A value reverse-engineered from a desired outcome is CHOSEN under this scheme's own precedent — _ECOLOGICAL_SPIKE_INTENSITY was retagged for the same reason on 2026-08-05 — whatever the ratios between categories rest on."
GUF_USE_INSTITUTIONAL,1.0,"TEH per Standard Land Unit per year, at ε=0.40",placeholder,,NLSA Eq. 9 — midpoints of the manual's per-category ranges.,Ground Use Fee (land/guf.py),,,"a stewardship-cost census — collective labour-hours per year actually attributable to servicing each use category (roads, utilities, inspection, dispute resolution), divided by land area. That measures the quantity the fee is DEFINED as, so it settles the levels and the ratios in one instrument rather than calibrating one against the other.",,,,,,"CALIBRATED TO A TARGET, and retagged on that basis (2026-08-09). These were scaled ×100 from the template's abstract unit values so that aggregate GUF over a 1M-population inventory (~400k residential + 20k commercial parcels) lands co-equal with levy revenue at mid-arc: residential ≈ 9.3M TEH/yr, commercial ≈ 4.1M, total ≈ 13.4M against levy ≈ 6.2M (≈2.2×). A value reverse-engineered from a desired outcome is CHOSEN under this scheme's own precedent — _ECOLOGICAL_SPIKE_INTENSITY was retagged for the same reason on 2026-08-05 — whatever the ratios between categories rest on."
GUF_USE_CONSERVATION_CREDIT,-6.0,TEH per SLU per year,normative,,"the only negative coefficient in the fee table. It enters `base_fee` like any other U, so it OFFSETS the positive terms — and `ground_use_fee` clamps the total at `guf_floor` (0.0), so it can take a fee to zero and no further.",Ground Use Fee (land/guf.py),,,,"CHARTER DECISION, 2026-08-30 (author sign-off): THE CLAMP IS ADOPTED. A credit may reduce a fee to zero; it may not pay out. Four measurements decided it, none of them solvency alone:",,,,,
GUF_DEMAND_ETA_RESIDENTIAL,0.15,dimensionless elasticity,placeholder,,"NLSA Eq. 11–13 — fee sensitivity to occupancy pressure, by land class.",Ground Use Fee (land/guf.py),,,measured fee-to-occupancy elasticity by land class — vacancy and turnover response in a jurisdiction that has actually varied its ground fees.,,,,,,
GUF_DEMAND_ETA_COMMERCIAL,0.25,dimensionless elasticity,placeholder,,"NLSA Eq. 11–13 — fee sensitivity to occupancy pressure, by land class.",Ground Use Fee (land/guf.py),,,measured fee-to-occupancy elasticity by land class — vacancy and turnover response in a jurisdiction that has actually varied its ground fees.,,,,,,
GUF_DEMAND_D_MAX,1.8,dimensionless multiplier,normative,,"NLSA Eq. 11–13 — a constitutional CEILING on D(p), not an estimate of it.",Ground Use Fee (land/guf.py),,,,"a charter decision, not a measurement. It bounds how far demand pressure may lift a fee above its reference; 1.80 is the framework's own judgement about tolerable variation and should be argued, not fitted.",,,,,
GUF_ZONE_MIN,0.8,dimensionless multiplier,normative,,"NLSA §2.4.1 — the permitted band for a collective's local zone adjustment: governance headroom, not an estimated quantity.",Ground Use Fee (land/guf.py),,,,"a charter decision on how much local discretion the schedule allows. No measurement settles a permitted range — the honest pointer is the deliberation, and pretending otherwise would be the error.",,,,,
GUF_ZONE_MAX,1.25,dimensionless multiplier,normative,,"NLSA §2.4.1 — the permitted band for a collective's local zone adjustment: governance headroom, not an estimated quantity.",Ground Use Fee (land/guf.py),,,,"a charter decision on how much local discretion the schedule allows. No measurement settles a permitted range — the honest pointer is the deliberation, and pretending otherwise would be the error.",,,,,
GUF_ECO_KAPPA_WATER_FILTRATION,1.65,"TEH per megalitre per year, at ε=0.40",placeholder,,NLSA Eq. 14–15.,Ground Use Fee (land/guf.py),,,"crew-hours to operate treatment capacity delivering equivalent filtration — a plant staffing schedule, not a valuation study.",,,,,,
GUF_ECO_KAPPA_FLOOD_ATTENUATION,0.006,"TEH per cubic metre of retention per year, at ε=0.40",placeholder,,NLSA Eq. 14–15.,Ground Use Fee (land/guf.py),,,"crew-hours to build and maintain engineered retention of equal volume, amortized over its design life.",,,,,,
GUF_ECO_KAPPA_CARBON,0.6,"TEH per tonne CO₂-equivalent per year, at ε=0.40",measured,D,"adopted EQUAL to CDR_LABOR_HOURS_PER_TONNE — labour-hours per tonne removed, from operator staffing disclosures. Supersedes the NLSA Eq. 14–15 midpoint.",Ground Use Fee (land/guf.py),,,"operator staffing disclosures, jointly with the thermal layer. Tier D — one plant, and the sink-reversal question above is unresolved.",,,,,,
GUF_ECO_KAPPA_AIR_QUALITY,5.5,"TEH per tonne particulate per year, at ε=0.40",placeholder,,NLSA Eq. 14–15.,Ground Use Fee (land/guf.py),,,operating hours for filtration capacity of equal removal rate.,,,,,,
GUF_ECO_KAPPA_POLLINATION,1.0,"TEH per hectare-equivalent per year, at ε=0.40",placeholder,,NLSA Eq. 14–15.,Ground Use Fee (land/guf.py),,,"measured hand-pollination labour per hectare, which is the one service in this table with a directly observed human-substitute cost (Sichuan pear orchards, Maoxian).",,,,,,
GUF_ECO_KAPPA_BIODIVERSITY,0.35,"TEH per Habitat Quality Unit per year, at ε=0.40",placeholder,,NLSA Eq. 14–15.,Ground Use Fee (land/guf.py),,,"nothing yet, and this is the weakest of the seven — a Habitat Quality Unit is a framework construct, so the pointer has to define the unit before it can price it. Managed-reserve staffing per unit area is the nearest observable.",,,,,,
GUF_ECO_KAPPA_THERMAL,0.03,"TEH per cooling-degree-day per year, at ε=0.40",placeholder,,NLSA Eq. 14–15.,Ground Use Fee (land/guf.py),,,operating and maintenance hours for mechanical cooling delivering the same degree-day offset. Note the thermal layer treats this quantity as a physical budget rather than a service (research/thermal.py) — the two readings have not been reconciled.,,,,,,
GUF_ECO_BETA_WATER_FILTRATION,0.8,dimensionless exponent,placeholder,,"NLSA Eq. 15 — how fast each service's replacement cost falls with automation. The ORDERING is an argument the framework makes (physical treatment automates readily; pollination and biodiversity resist it, the same Baumol logic that bounds care abatability in Block II); the magnitudes are not constrained by anything.",Ground Use Fee (land/guf.py),,,per-service labour intensity of the replacement task measured at two or more automation levels. Until then the ordering is the claim and the values are placeholders that happen to encode it.,,,,,,
GUF_ECO_BETA_FLOOD_ATTENUATION,0.7,dimensionless exponent,placeholder,,"NLSA Eq. 15 — how fast each service's replacement cost falls with automation. The ORDERING is an argument the framework makes (physical treatment automates readily; pollination and biodiversity resist it, the same Baumol logic that bounds care abatability in Block II); the magnitudes are not constrained by anything.",Ground Use Fee (land/guf.py),,,per-service labour intensity of the replacement task measured at two or more automation levels. Until then the ordering is the claim and the values are placeholders that happen to encode it.,,,,,,
GUF_ECO_BETA_CARBON,0.9,dimensionless exponent,placeholder,,"NLSA Eq. 15 — how fast each service's replacement cost falls with automation. The ORDERING is an argument the framework makes (physical treatment automates readily; pollination and biodiversity resist it, the same Baumol logic that bounds care abatability in Block II); the magnitudes are not constrained by anything.",Ground Use Fee (land/guf.py),,,per-service labour intensity of the replacement task measured at two or more automation levels. Until then the ordering is the claim and the values are placeholders that happen to encode it.,,,,,,
GUF_ECO_BETA_AIR_QUALITY,1.0,dimensionless exponent,placeholder,,"NLSA Eq. 15 — how fast each service's replacement cost falls with automation. The ORDERING is an argument the framework makes (physical treatment automates readily; pollination and biodiversity resist it, the same Baumol logic that bounds care abatability in Block II); the magnitudes are not constrained by anything.",Ground Use Fee (land/guf.py),,,per-service labour intensity of the replacement task measured at two or more automation levels. Until then the ordering is the claim and the values are placeholders that happen to encode it.,,,,,,
GUF_ECO_BETA_POLLINATION,0.6,dimensionless exponent,placeholder,,"NLSA Eq. 15 — how fast each service's replacement cost falls with automation. The ORDERING is an argument the framework makes (physical treatment automates readily; pollination and biodiversity resist it, the same Baumol logic that bounds care abatability in Block II); the magnitudes are not constrained by anything.",Ground Use Fee (land/guf.py),,,per-service labour intensity of the replacement task measured at two or more automation levels. Until then the ordering is the claim and the values are placeholders that happen to encode it.,,,,,,
